file,id,field,before,after,reason
corpus_100.csv,E1-001,rb_adjudicated,,"R1, R3, R7, B1",author R/B coding 2026-09-13: Stage A code for C01 (README §5)
corpus_100.csv,E1-002,rb_adjudicated,,"R1, R2",author R/B coding 2026-09-13: Stage A code for C03 (README §5)
corpus_100.csv,E1-003,rb_adjudicated,,"R9, R2",author R/B coding 2026-09-13: Stage A code for C04 (README §5)
corpus_100.csv,E1-004,rb_adjudicated,,"R3, R7",author R/B coding 2026-09-13: Stage A code for C05 (README §5)
corpus_100.csv,E1-005,rb_adjudicated,,"R9, R3, R5, R8, B5, B1",author R/B coding 2026-09-13: Stage A code for C07 (README §5)
corpus_100.csv,E1-006,rb_adjudicated,,"R1, R4",author R/B coding 2026-09-13: Stage A code for C09 (README §5)
corpus_100.csv,E1-007,rb_adjudicated,,"R1, B2",author R/B coding 2026-09-13: Stage A code for C11 (README §5)
corpus_100.csv,E1-008,rb_adjudicated,,"R4, R7, R9",author R/B coding 2026-09-13: Stage A code for C15 (README §5)
corpus_100.csv,E1-009,rb_adjudicated,,"R9, R6",author R/B coding 2026-09-13: Stage A code for C16 (README §5)
corpus_100.csv,E1-010,rb_adjudicated,,"R1, R9, R2",author R/B coding 2026-09-13: Stage A code for C18 (README §5)
corpus_100.csv,E1-011,rb_adjudicated,,"R10, R9",author R/B coding 2026-09-13: Stage A code for C19 (README §5)
corpus_100.csv,E1-012,rb_adjudicated,,"R1, R2, B1",author R/B coding 2026-09-13: Stage A code for C20-O (README §5)
corpus_100.csv,E1-013,rb_adjudicated,,"R1, R3",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-014,rb_adjudicated,,"R1, R3",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-015,rb_adjudicated,,N/A,author R/B coding 2026-09-13: AMBIGUOUS; excluded from the R/B distribution
corpus_100.csv,E1-016,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-017,rb_adjudicated,,N/A,author R/B coding 2026-09-13: AMBIGUOUS; excluded from the R/B distribution
corpus_100.csv,E1-018,rb_adjudicated,,N/A,author R/B coding 2026-09-13: AMBIGUOUS; excluded from the R/B distribution
corpus_100.csv,E1-019,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-020,rb_adjudicated,,"R1, R6",author R/B coding 2026-09-13: author exception label
corpus_100.csv,E1-021,rb_adjudicated,,R9,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
